strategy,dataset,model,ratio,iteration,mIoU,aAcc,fwIoU,num_images,timestamp,mIoU_clear_day,mIoU_cloudy,mIoU_dawn_dusk,mIoU_foggy,mIoU_night,mIoU_rainy,mIoU_snowy,best_mIoU,is_best
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,60000,69.36147941226972,97.65591252043644,95.7422718355872,2928,20260104_230737,69.20039510869877,72.06180899147778,58.94838505951624,69.10085198100094,59.453406012196844,59.58992871489534,54.89201972034821,71.97308028433744,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,70000,70.41721615801397,97.82803580554184,95.9796498977287,2928,20260104_231745,70.04440343639263,72.22639286423048,60.864408028106155,68.97511405040876,60.11947255760005,62.1037165483471,57.479638877513906,71.97308028433744,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,80000,71.97308028433744,98.08568568281389,96.43981662887798,2928,20260104_232833,71.3914437243232,73.76133746475035,62.63222819658798,71.75942911434558,64.47518131715697,65.40856961788771,59.523166613408684,71.97308028433744,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,10000,42.55915070121291,91.7101952189187,86.1474135892664,2928,20260104_221242,44.342144812700305,40.26442286655072,21.337775476498564,30.43522030922067,28.181543081925405,28.484485544747827,29.33607397010396,70.08659047366734,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,20000,51.619509845932086,94.06930559381559,90.01490497259097,2928,20260104_222441,52.561046823103176,52.450250809528555,27.1517731718541,43.42011559240901,34.446572282825336,35.916276629968365,31.236068433236962,70.08659047366734,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,30000,53.06033105144641,94.805233537498,91.07501979966571,2928,20260104_223715,54.15611675744201,52.91133385982183,30.982650565086878,40.033316557023895,33.928655795696365,44.907784794435614,36.03356196315954,70.08659047366734,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,40000,59.39850847485106,96.02144979761675,92.89728251943869,2928,20260104_225007,59.831487350972054,60.66787207826876,41.683820688194,51.12503229777935,42.05486763032696,51.644200493279435,42.57913549645479,70.08659047366734,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,50000,62.85615320428472,96.79537706470158,94.29823683215098,2928,20260104_230149,63.58789424587277,62.94687065157611,50.80868146821811,51.64003795666401,50.285348596703905,53.70991431716101,45.93533028914401,70.08659047366734,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,60000,67.12881683183242,97.37544415617143,95.2734354443944,2928,20260104_231402,67.0781014086915,68.640193641,56.6805634921101,62.8016693782392,56.39927951308577,58.365226645524174,52.581047344755724,70.08659047366734,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,70000,69.32885195937249,97.66966638921184,95.72851623995416,2928,20260104_232546,69.0420310452464,72.11940753821929,59.77164165222326,69.12352066656271,57.20279592076783,59.50739864470459,56.51256267595861,70.08659047366734,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,80000,70.08659047366734,97.78527076011117,95.90781277383029,2928,20260104_233742,70.01623711136833,72.90616053909534,56.98837365874616,68.99675945320811,57.12211345604459,61.598489826671155,56.10924562824866,70.08659047366734,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,10000,44.92346269883577,92.50379914513393,87.50111425234918,2928,20260104_221135,48.09184888418364,42.51206029062336,22.971062189410755,32.855748787701536,29.743647987515537,23.707804429344588,30.319397695632578,71.1944078941445,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,20000,56.51300939941579,95.36392660308255,91.95876045086764,2928,20260104_221437,57.252166139207084,58.46067577727023,35.14099447952817,48.76467744200429,41.5014702934988,40.77900264443001,34.59907354314019,71.1944078941445,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,30000,58.839332118262156,96.02939533333603,92.99111607774435,2928,20260104_221740,58.67877661291665,60.4584637094794,41.71757920160415,50.88730720361646,43.293304954587356,49.928358520129144,40.09699434829887,71.1944078941445,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,40000,62.05289524299948,96.57787920771457,93.89265885495826,2928,20260104_222042,63.26313613449561,64.30431952679211,50.15169077438721,56.479742098009524,46.90657323239888,51.3443916100361,44.4971630897689,71.1944078941445,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,50000,58.86604534104097,95.8532695414658,93.02504601256837,2928,20260104_222345,59.40140953367641,61.020812732447126,41.29779189978623,52.88069257881691,44.12689020565317,48.48274728334409,41.306216572693124,71.1944078941445,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,60000,68.49579946864174,97.57359273189155,95.60519822736411,2928,20260104_222638,68.12093433176324,71.08318509773306,60.130389157648004,67.92968404959298,60.164930317212274,58.797613729579034,53.47089485300142,71.1944078941445,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,70000,69.96971696684707,97.80868902334262,95.9975291190163,2928,20260104_222935,69.74900943577272,72.29527830364822,61.1240775344026,69.625140055106,62.95184708047907,59.212693820866924,55.008685581083874,71.1944078941445,False
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,80000,71.1944078941445,97.95851612659607,96.23166152857851,2928,20260104_223232,70.83328724871383,73.34453923374791,60.78531880727462,70.12278145041478,63.16785739450681,63.744314292457204,55.89412727602494,71.1944078941445,True
gen_LANIT,idd-aw,pspnet_r50,0.0,10000,59.057984469984504,96.05353482749423,92.98164733003765,2928,20260104_221051,59.622313722878026,59.76338898671175,48.3025625312877,50.47490171191819,49.78054273978512,43.627160506823955,39.20358204384932,75.0483394431206,False
gen_LANIT,idd-aw,pspnet_r50,0.0,20000,64.24853496756415,96.8699037606545,94.34877037307119,2928,20260104_221350,64.11686830117979,66.23747440397855,53.61887587569289,58.936605468808146,54.485419394269876,54.48707647062573,44.39803542720338,75.0483394431206,False
