strategy,dataset,model,test_type,result_type,metrics_file,mIoU,mAcc,aAcc,fwIoU,timestamp,has_per_domain,has_per_class
gen_CUT,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.63,86.31,98.44,97.08999633789062,1767719589.5156498,False,False
gen_CUT,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,29.47,44.28,60.63,44.119998931884766,1767719589.5534446,False,False
gen_CUT,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,30.17,41.93,63.18,47.130001068115234,1767719589.613086,False,False
gen_CUT,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,30.89,45.65,62.65,46.279998779296875,1767719589.6881003,False,False
gen_CUT,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,31.02,44.36,63.32,47.2400016784668,1767719589.7622917,False,False
gen_CUT,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.23,72.95,94.55,89.91000366210938,1767719589.8165257,False,False
gen_CUT,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,68.76,72.91,94.77,90.19999694824219,1767719589.895888,False,False
gen_CUT,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,51.38,63.94,83.24,73.33000183105469,1767719589.934637,False,False
gen_CUT,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,54.62,65.67,84.65,75.38999938964844,1767719589.966304,False,False
gen_CUT,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/outside15k/pspnet_r50/test_results/test/metrics.json,65.31,74.22,89.67,82.55999755859375,1767719590.015072,False,False
gen_CUT,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,62.57,71.32,87.95,79.52999877929688,1767719590.049811,False,False
gen_CUT,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.42,84.25,92.78,87.05999755859375,1767719590.0946157,False,False
gen_CUT,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_CUT/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.16,82.39,91.75,85.44000244140625,1767719590.311714,False,False
gen_EDICT,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,48.82,54.13,96.27,93.06999969482422,1767719590.5329409,False,False
gen_EDICT,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,51.66,56.11,96.37,93.16000366210938,1767719590.568237,False,False
gen_EDICT,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/bdd10k/pspnet_r50/test_results/test/metrics.json,55.61,59.34,96.98,94.2300033569336,1767719590.5976455,False,False
gen_EDICT,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,55.8,60.52,96.84,94.0199966430664,1767719590.6271381,False,False
gen_EDICT,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/bdd10k/segformer_mit-b5/test_results/test/metrics.json,69.33,72.98,97.66,95.4800033569336,1767719590.6602535,False,False
gen_EDICT,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,63.81,68.06,97.43,95.06999969482422,1767719590.6949165,False,False
gen_EDICT,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.29,78.42,98.26,96.75,1767719590.8095248,False,False
gen_EDICT,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.53,76.66,97.91,96.08000183105469,1767719590.845014,False,False
gen_EDICT,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/idd-aw/pspnet_r50/test_results/test/metrics.json,76.45,81.59,98.37,96.94999694824219,1767719590.880908,False,False
gen_EDICT,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_EDICT/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.45,79.07,97.91,96.08999633789062,1767719590.915733,False,False
