strategy,dataset,model,test_type,result_type,metrics_file,mIoU,mAcc,aAcc,fwIoU,timestamp,has_per_domain,has_per_class
gen_Weather_Effect_Generator,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,29.85,46.52,61.01,43.7400016784668,1767719602.4272628,False,False
gen_Weather_Effect_Generator,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,34.25,47.47,67.63,52.029998779296875,1767719602.4621637,False,False
gen_Weather_Effect_Generator,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.31,73.58,93.97,88.91999816894531,1767719602.4927597,False,False
gen_Weather_Effect_Generator,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,66.69,72.1,93.64,88.3499984741211,1767719602.5171385,False,False
gen_Weather_Effect_Generator,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,54.42,65.51,84.5,75.20999908447266,1767719602.543701,False,False
gen_Weather_Effect_Generator,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.33,65.79,85.28,76.12999725341797,1767719602.570553,False,False
gen_Weather_Effect_Generator,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/outside15k/pspnet_r50/test_results/test/metrics.json,64.55,73.66,89.18,81.9000015258789,1767719602.596599,False,False
gen_Weather_Effect_Generator,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,63.35,72.23,88.48,80.47000122070312,1767719602.6224613,False,False
gen_Weather_Effect_Generator,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.9,84.44,93.04,87.5,1767719602.646961,False,False
gen_Weather_Effect_Generator,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Weather_Effect_Generator/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.26,82.25,91.8,85.38999938964844,1767719602.6704118,False,False
gen_automold,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,49.03,53.9,96.41,93.29000091552734,1767719602.8594787,False,False
gen_automold,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,49.98,55.22,96.52,93.56999969482422,1767719602.88417,False,False
gen_automold,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/bdd10k/pspnet_r50/test_results/test/metrics.json,56.49,59.97,97.12,94.48999786376953,1767719602.907749,False,False
gen_automold,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,51.49,55.69,96.54,93.4800033569336,1767719602.9315517,False,False
gen_automold,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/bdd10k/segformer_mit-b5/test_results/test/metrics.json,68.15,72.06,97.64,95.44999694824219,1767719602.955911,False,False
gen_automold,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,63.14,67.1,97.39,95.0,1767719602.9803646,False,False
gen_automold,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,70.49,76.24,97.86,96.05000305175781,1767719603.0062082,False,False
gen_automold,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.78,77.22,97.95,96.16999816894531,1767719603.0313785,False,False
gen_automold,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/idd-aw/pspnet_r50/test_results/test/metrics.json,77.38,82.61,98.4,97.01000213623047,1767719603.05484,False,False
gen_automold,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.42,78.59,98.01,96.26000213623047,1767719603.0825315,False,False
gen_automold,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/idd-aw/segformer_mit-b5/test_results/test/metrics.json,85.38,90.97,98.75,97.6500015258789,1767719603.1125019,False,False
gen_automold,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,79.69,84.89,98.47,97.12999725341797,1767719603.1391559,False,False
gen_automold,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,44.21,54.26,80.04,67.26000213623047,1767719603.1659055,False,False
gen_automold,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,25.54,38.54,55.33,39.20000076293945,1767719603.1933744,False,False
gen_automold,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,30.34,47.23,61.71,44.380001068115234,1767719603.2185774,False,False
gen_automold,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,30.68,47.17,62.17,45.09000015258789,1767719603.2431908,False,False
gen_automold,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.07,73.44,93.98,88.95999908447266,1767719603.2714126,False,False
gen_automold,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,68.23,72.89,94.0,88.81999969482422,1767719603.3020494,False,False
gen_automold,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,55.92,66.33,86.5,77.72000122070312,1767719603.676366,False,False
gen_automold,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.02,65.81,84.87,75.5999984741211,1767719603.7021148,False,False
gen_automold,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/outside15k/pspnet_r50/test_results/test/metrics.json,63.84,72.99,88.87,81.3499984741211,1767719603.7274685,False,False
gen_automold,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,62.65,71.97,88.33,80.25,1767719603.7525,False,False
gen_automold,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.91,84.55,92.87,87.22000122070312,1767719603.7782593,False,False
gen_automold,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_automold/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.79,82.48,91.89,85.56999969482422,1767719603.8068466,False,False
gen_cycleGAN,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,49.89,54.78,96.41,93.2699966430664,1767719604.041995,False,False
gen_cycleGAN,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,49.48,53.74,96.31,93.05999755859375,1767719604.0796084,False,False
gen_cycleGAN,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/bdd10k/pspnet_r50/test_results/test/metrics.json,58.09,62.58,97.14,94.52999877929688,1767719604.1068394,False,False
gen_cycleGAN,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.55,58.82,96.9,94.12000274658203,1767719604.145825,False,False
gen_cycleGAN,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/bdd10k/segformer_mit-b5/test_results/test/metrics.json,65.65,69.67,97.67,95.5199966430664,1767719604.1712835,False,False
gen_cycleGAN,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,63.05,67.5,97.36,94.9800033569336,1767719604.2244697,False,False
gen_cycleGAN,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,71.48,77.03,98.04,96.36000061035156,1767719604.2572854,False,False
gen_cycleGAN,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.89,76.87,97.94,96.13999938964844,1767719604.2967467,False,False
gen_cycleGAN,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/idd-aw/pspnet_r50/test_results/test/metrics.json,77.65,82.78,98.41,97.02999877929688,1767719604.3222558,False,False
gen_cycleGAN,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,74.16,79.45,98.07,96.38999938964844,1767719604.3621695,False,False
gen_cycleGAN,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.29,89.57,98.75,97.66000366210938,1767719604.3876498,False,False
gen_cycleGAN,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,79.19,84.43,98.49,97.16000366210938,1767719604.427453,False,False
gen_cycleGAN,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,25.44,41.32,54.5,37.29999923706055,1767719604.4535015,False,False
gen_cycleGAN,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,26.24,37.66,57.96,41.83000183105469,1767719604.487515,False,False
gen_cycleGAN,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,30.33,46.69,61.69,44.52000045776367,1767719604.5169306,False,False
gen_cycleGAN,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,34.98,47.04,69.23,53.77000045776367,1767719604.5563934,False,False
gen_cycleGAN,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,67.39,72.26,94.4,89.69999694824219,1767719604.5841177,False,False
gen_cycleGAN,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,68.66,73.32,94.24,89.27999877929688,1767719604.6214826,False,False
gen_cycleGAN,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,56.65,67.74,86.67,77.94999694824219,1767719604.649018,False,False
gen_cycleGAN,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.86,66.93,85.4,76.27999877929688,1767719604.688751,False,False
gen_cycleGAN,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/outside15k/pspnet_r50/test_results/test/metrics.json,59.29,69.89,85.68,77.43000030517578,1767719604.7176,False,False
gen_cycleGAN,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,62.07,71.05,87.69,79.4000015258789,1767719604.7550337,False,False
gen_cycleGAN,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.35,83.81,92.73,87.01000213623047,1767719604.783296,False,False
gen_cycleGAN,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_cycleGAN/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,74.13,82.78,91.98,85.7300033569336,1767719604.817623,False,False
gen_flux1_kontext,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,50.29,54.71,96.46,93.33000183105469,1767719604.9899852,False,False
gen_flux1_kontext,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,49.91,55.44,96.26,93.05999755859375,1767719605.0131748,False,False
gen_flux1_kontext,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/bdd10k/pspnet_r50/test_results/test/metrics.json,58.19,62.57,97.1,94.45999908447266,1767719605.03939,False,False
gen_flux1_kontext,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.49,59.02,96.89,94.11000061035156,1767719605.0619545,False,False
gen_flux1_kontext,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/bdd10k/segformer_mit-b5/test_results/test/metrics.json,64.53,67.98,97.67,95.48999786376953,1767719605.086577,False,False
gen_flux1_kontext,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,64.56,68.79,97.41,95.05000305175781,1767719605.1119404,False,False
gen_flux1_kontext,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.54,78.8,98.28,96.80000305175781,1767719605.1378894,False,False
gen_flux1_kontext,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.22,76.44,97.89,96.06999969482422,1767719605.1628678,False,False
gen_flux1_kontext,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/idd-aw/pspnet_r50/test_results/test/metrics.json,77.46,82.73,98.4,97.0199966430664,1767719605.1889193,False,False
gen_flux1_kontext,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.07,78.82,97.86,96.0,1767719605.2150054,False,False
gen_flux1_kontext,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.88,90.27,98.76,97.66000366210938,1767719605.2396812,False,False
gen_flux1_kontext,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,79.68,84.92,98.45,97.08999633789062,1767719605.263274,False,False
gen_flux1_kontext,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,27.11,40.73,57.31,41.27000045776367,1767719605.2861822,False,False
gen_flux1_kontext,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,32.93,44.95,66.74,51.0,1767719605.3110704,False,False
gen_flux1_kontext,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,28.64,44.62,59.3,42.209999084472656,1767719605.3349302,False,False
gen_flux1_kontext,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,29.87,46.23,61.05,43.900001525878906,1767719605.3581169,False,False
gen_flux1_kontext,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.21,73.97,94.3,89.69000244140625,1767719605.3817625,False,False
gen_flux1_kontext,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,66.52,71.07,94.04,88.91999816894531,1767719605.4068742,False,False
gen_flux1_kontext,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,58.04,68.37,86.99,78.44999694824219,1767719605.4344158,False,False
gen_flux1_kontext,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.29,66.33,85.61,76.1500015258789,1767719605.4611857,False,False
gen_flux1_kontext,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/outside15k/pspnet_r50/test_results/test/metrics.json,64.09,73.46,88.79,81.44000244140625,1767719605.8524344,False,False
gen_flux1_kontext,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,62.53,72.14,88.11,79.94000244140625,1767719605.8757298,False,False
gen_flux1_kontext,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.35,84.04,92.79,87.13999938964844,1767719605.9015799,False,False
gen_flux1_kontext,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_flux1_kontext/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.74,82.64,91.88,85.54000091552734,1767719605.9262335,False,False
gen_imgaug_weather,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_imgaug_weather/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,50.08,54.57,96.58,93.58999633789062,1767719606.1069174,False,False
gen_imgaug_weather,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_imgaug_weather/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,51.15,56.12,96.46,93.4000015258789,1767719606.131258,False,False
gen_imgaug_weather,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_imgaug_weather/bdd10k/pspnet_r50/test_results/test/metrics.json,58.1,62.86,97.1,94.4800033569336,1767719606.1564417,False,False
gen_stargan_v2,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,50.49,55.34,96.69,93.80999755859375,1767719606.3646095,False,False
gen_stargan_v2,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,48.39,52.26,96.12,92.70999908447266,1767719606.3980227,False,False
gen_stargan_v2,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/bdd10k/pspnet_r50/test_results/test/metrics.json,57.15,61.28,97.11,94.48999786376953,1767719606.4204178,False,False
gen_stargan_v2,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.33,58.58,96.71,93.76000213623047,1767719606.4508445,False,False
gen_stargan_v2,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/bdd10k/segformer_mit-b5/test_results/test/metrics.json,65.65,69.18,97.66,95.48999786376953,1767719606.483745,False,False
gen_stargan_v2,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,62.16,66.05,97.38,94.9800033569336,1767719606.5066385,False,False
gen_stargan_v2,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,70.5,76.16,97.82,95.97000122070312,1767719606.532656,False,False
gen_stargan_v2,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,66.09,72.17,97.29,95.01000213623047,1767719606.557323,False,False
gen_stargan_v2,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/idd-aw/pspnet_r50/test_results/test/metrics.json,72.62,77.75,98.14,96.55000305175781,1767719606.588096,False,False
gen_stargan_v2,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,72.67,77.94,97.82,95.91999816894531,1767719606.6159966,False,False
gen_stargan_v2,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.9,90.21,98.76,97.68000030517578,1767719606.6457896,False,False
gen_stargan_v2,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,77.44,82.54,98.46,97.12000274658203,1767719606.6692407,False,False
gen_stargan_v2,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,26.15,41.98,55.59,38.4900016784668,1767719606.7000635,False,False
gen_stargan_v2,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,30.58,43.59,62.89,46.869998931884766,1767719606.729692,False,False
gen_stargan_v2,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,31.63,47.13,63.54,47.02000045776367,1767719606.7619314,False,False
gen_stargan_v2,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,31.66,47.21,63.57,47.029998779296875,1767719606.795916,False,False
gen_stargan_v2,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.2,73.26,94.34,89.5999984741211,1767719606.8279943,False,False
gen_stargan_v2,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_stargan_v2/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,67.07,71.85,94.11,89.0999984741211,1767719606.8680642,False,False
